labels,cik,conm,industry,Coord1,Coord2
7,1750.0,AAR CORP,Aerospace & Defense,0.020506235700145634,0.05063319517013625
7,1800.0,ABBOTT LABORATORIES,Health Care Equipment & Supplies,0.031584370077251206,0.0583420268234993
1,2034.0,ACETO CORP,Health Care Providers & Services,-0.02048555740455878,0.0018518282353298132
7,2135.0,AFFILIATED COMPUTER SERVICES,IT Services,0.004860752267009941,0.034610686378595046
5,2488.0,ADVANCED MICRO DEVICES,Semiconductors & Semiconductor Equipment,0.029383738540325527,-0.031524834286324147
0,2491.0,BALLY TECHNOLOGIES INC,"Hotels, Restaurants & Leisure",0.1029220137643884,-0.06059156796933642
6,2809.0,AGNICO EAGLE MINES LTD,Metals & Mining,0.06975091681853478,-0.013616073405605209
2,2969.0,AIR PRODUCTS & CHEMICALS INC,Chemicals,0.11784084478564816,0.017290645966461096
1,3116.0,AKORN INC,Pharmaceuticals,-0.019890896027319648,-0.024624299146232098
1,3453.0,MATSON INC,Marine,-0.018319659839299805,-0.026048055693692822
4,3673.0,ALLEGHENY ENERGY INC,Electric Utilities,-0.017411676560247703,0.12604274187953896
6,4127.0,SKYWORKS SOLUTIONS INC,Semiconductors & Semiconductor Equipment,0.06557545570448224,0.024681921372391266
3,4281.0,ARCONIC INC,Aerospace & Defense,-0.05965418484281763,-0.009517213300716733
4,4447.0,HESS CORP,"Oil, Gas & Consumable Fuels",0.019478777241985955,0.12489555151763879
4,4904.0,AMERICAN ELECTRIC POWER CO,Electric Utilities,-0.016124666927085744,0.21473190720679436
9,4962.0,AMERICAN EXPRESS CO,Consumer Finance,0.07017284109242809,0.07235090700414878
7,4977.0,AFLAC INC,Insurance,0.014444299764186985,0.09963086714402941
1,5133.0,AMERICAN GREETINGS  -CL A,Household Durables,-0.020839202493369013,0.02415857559289296
7,5272.0,AMERICAN INTERNATIONAL GROUP,Insurance,-0.018832168163535258,0.04931610517036917
7,5513.0,UNUM GROUP,Insurance,0.03604035052365911,0.07124658464556219
5,5768.0,AMERICAN SCIENCE ENGINEERING,Aerospace & Defense,0.018128677982686508,-0.049480273151817494
5,5981.0,AMERICAN VANGUARD CORP,Chemicals,0.011930888708976871,-0.040144384088091914
3,6201.0,AMERICAN AIRLINES GROUP INC,Airlines,-0.05965418484281845,-0.009517213300716983
2,6281.0,ANALOG DEVICES,Semiconductors & Semiconductor Equipment,0.15160219886651705,-0.0128492342448373
6,6284.0,ANALOGIC CORP,Health Care Equipment & Supplies,0.046603264608191385,-0.02299096091861307
4,6769.0,APACHE CORP,"Oil, Gas & Consumable Fuels",-0.005830233171791239,0.1735869484176178
