labels,cik,conm,industry,Coord1,Coord2
1,1750,AAR CORP,Aerospace & Defense,0.09735867150752228,0.013653805475949502
1,1800,ABBOTT LABORATORIES,Health Care Equipment & Supplies,0.10331341537444329,0.018390785524971438
1,2034,ACETO CORP,Health Care Providers & Services,0.0810976912301684,0.04994929510270701
1,2135,AFFILIATED COMPUTER SERVICES,IT Services,0.10888009831510356,0.020313290020712423
8,2488,ADVANCED MICRO DEVICES,Semiconductors & Semiconductor Equipment,0.10747310289945998,0.020693652435926982
1,2491,BALLY TECHNOLOGIES INC,"Hotels, Restaurants & Leisure",-0.06608321072854241,-0.1584691560010467
1,2809,AGNICO EAGLE MINES LTD,Metals & Mining,0.0975471108621501,0.014017555905190346
1,2969,AIR PRODUCTS & CHEMICALS INC,Chemicals,0.09735867150752257,0.01365380547594867
7,3116,AKORN INC,Pharmaceuticals,0.09735867150752187,0.0136538054759476
3,3453,MATSON INC,Marine,-0.14631406691435042,0.30803125759208777
3,3673,ALLEGHENY ENERGY INC,Electric Utilities,-0.5726415321079554,0.49434167725714095
1,4127,SKYWORKS SOLUTIONS INC,Semiconductors & Semiconductor Equipment,-0.35158323956487025,0.5205042915563921
1,4281,ARCONIC INC,Aerospace & Defense,0.11110950574949967,0.019563126715135853
1,4447,HESS CORP,"Oil, Gas & Consumable Fuels",0.09735867150752245,0.013653805475947819
5,4904,AMERICAN ELECTRIC POWER CO,Electric Utilities,0.0973586715075217,0.013653805475949635
1,4962,AMERICAN EXPRESS CO,Consumer Finance,-0.3824852667137887,0.07866705789487362
1,4977,AFLAC INC,Insurance,0.09735867150752331,0.013653805475948735
1,5133,AMERICAN GREETINGS  -CL A,Household Durables,0.09735867150752225,0.013653805475948105
4,5272,AMERICAN INTERNATIONAL GROUP,Insurance,0.10293877138222356,0.01813204142063626
0,5513,UNUM GROUP,Insurance,-0.2615720516291798,0.10892838195340826
1,5768,AMERICAN SCIENCE ENGINEERING,Aerospace & Defense,-0.36203011551999437,0.006610935681997277
4,5981,AMERICAN VANGUARD CORP,Chemicals,0.1057481124837618,0.017302809063647933
1,6201,AMERICAN AIRLINES GROUP INC,Airlines,-0.2787441912845204,0.06565711664671678
1,6281,ANALOG DEVICES,Semiconductors & Semiconductor Equipment,0.09735867150752245,0.013653805475948246
1,6284,ANALOGIC CORP,Health Care Equipment & Supplies,0.10665755982941334,0.020075239483687196
1,6769,APACHE CORP,"Oil, Gas & Consumable Fuels",0.10262168615213471,0.015696217808687716
1,6845,APOGEE ENTERPRISES INC,Building Products,-0.04255354776098864,0.041239719949566184
1,6885,STAGE STORES INC,Specialty Retail,0.09223186890398202,0.02617484502671632
1,6951,APPLIED MATERIALS INC,Semiconductors & Semiconductor Equipment,0.06710082578779585,0.04991460156215283
1,6955,ENERPAC TOOL GROUP CORP,Machinery,0.10088878076822769,0.01664670705288027
1,7084,ARCHER-DANIELS-MIDLAND CO,Food Products,0.10426553859716729,0.016662043425144334
1,7332,SOUTHWESTERN ENERGY CO,"Oil, Gas & Consumable Fuels",0.09735867150752225,0.013653805475947996
8,7536,ARROW ELECTRONICS INC,"Electronic Equipment, Instruments & Components",0.08982970671794331,0.03225834958664351
4,7789,ASSOCIATED BANC-CORP,Banks,-0.11889852026693117,-0.2319835753528227
1,8411,ATWOOD OCEANICS,Energy Equipment & Services,-0.156995261418497,0.06523387664486703
1,8670,AUTOMATIC DATA PROCESSING,IT Services,0.09735867150752299,0.013653805475948754
0,8818,AVERY DENNISON CORP,Containers & Packaging,0.1102983725462899,0.019973602344931105
1,8858,AVNET INC,"Electronic Equipment, Instruments & Components",-0.2976971454867975,-0.15239737805827935
1,8868,AVON PRODUCTS,Personal Products,0.10909097266009764,0.020659490552071665
1,8947,AZZ INC,Electrical Equipment,0.09735867150752178,0.013653805475947583
1,9092,BADGER METER INC,"Electronic Equipment, Instruments & Components",0.10114216327142421,0.016189036606719227
5,9326,BALCHEM CORP  -CL B,Chemicals,0.09735867150752262,0.013653805475948352
1,9342,BALDOR ELECTRIC CO,Electrical Equipment,-0.3160281713880431,0.2901091322452485
1,9389,BALL CORP,Containers & Packaging,0.09735867150752245,0.013653805475948196
1,9631,BANK OF NOVA SCOTIA,Banks,0.09735867150752266,0.01365380547594843
4,9892,BARD (C.R.) INC,Health Care Equipment & Supplies,0.09735867150752264,0.013653805475948385
1,9984,BARNES GROUP INC,Machinery,-0.19168995156360472,0.02337543470479705
1,10456,BAXTER INTERNATIONAL INC,Health Care Equipment & Supplies,0.09735867150752249,0.01365380547594822
1,10795,BECTON DICKINSON & CO,Health Care Equipment & Supplies,0.09735867150752253,0.013653805475948399
1,11199,BEMIS CO INC,Containers & Packaging,0.09735867150752311,0.013653805475948936
1,11544,BERKLEY (W R) CORP,Insurance,0.09735867150752203,0.013653805475947795
1,12208,BIO-RAD LABORATORIES INC,Life Sciences Tools & Services,0.09735867150752246,0.013653805475948234
7,12355,BLACK & DECKER CORP,Household Durables,0.09735867150752245,0.01365380547594822
1,12659,BLOCK H & R INC,Diversified Consumer Services,-0.02849351771777813,0.1789781546593854
1,12927,BOEING CO,Aerospace & Defense,0.10208555612623683,0.013916629714329703
8,12978,OFFICEMAX INC,Specialty Retail,0.08810916004378642,0.03650992830808986
2,13610,BOWNE & CO INC,Commercial Services & Supplies,-0.029383599551635758,-0.11982027558923246
1,14195,BRIGGS & STRATTON,Machinery,-0.30531139183686934,-0.28650650713737424
8,14272,BRISTOL-MYERS SQUIBB CO,Pharmaceuticals,0.09601098974348449,0.011644801697535168
1,14693,BROWN FORMAN CORP,Beverages,0.011480675989202346,-0.2102588711937079
1,14707,CALERES INC,Specialty Retail,0.09845795367007817,0.01317173768796656
2,14930,BRUNSWICK CORP,Leisure Products,0.09735867150752246,0.013653805475948229
1,15615,MASTEC INC,Construction & Engineering,-0.3457495558425811,-0.26036565574679443
1,16040,CABOT CORP,Chemicals,0.09774405970944387,0.01841269263032913
1,16058,CACI INTL INC  -CL A,IT Services,0.1092551331841758,0.019881938441112513
1,16160,CAL-MAINE FOODS INC,Food Products,0.10986547682678136,0.022537578760972465
1,16732,CAMPBELL SOUP CO,Food Products,0.10311096542965653,0.017713619288668228
1,16868,CANADIAN NATIONAL RAILWAY CO,Road & Rail,0.09735867150752246,0.013653805475948229
1,16873,NEXEN INC,"Oil, Gas & Consumable Fuels",0.09735867150752246,0.013653805475948229
1,16875,CANADIAN PACIFIC RAILWAY LTD,Road & Rail,0.0943253070899142,0.021149439163773133
1,16918,CONSTELLATION BRANDS,Beverages,0.09735867150752246,0.013653805475948229
1,16988,CANON INC,"Technology Hardware, Storage & Peripherals",0.10221110487900723,0.017597295338756168
1,17843,CARPENTER TECHNOLOGY CORP,Metals & Mining,0.09735867150752246,0.013653805475948229
1,18061,CASCADE CORP,Machinery,0.10522008842640712,0.018481290852459056
1,18172,CASTLE (A M) & CO,Trading Companies & Distributors,0.10493793569071463,0.010619767741423154
8,18230,CATERPILLAR INC,Machinery,0.09735867150752246,0.013653805475948229
1,18255,CATO CORP  -CL A,Specialty Retail,-0.06256170311550559,-0.15476060644858652
1,18349,SYNOVUS FINANCIAL CORP,Banks,0.07277980074641686,0.02638454927883264
4,18396,CDI CORP,Professional Services,0.09735867150752246,0.013653805475948229
1,18498,GENESCO INC,Specialty Retail,-0.26626402275377964,0.08525754689638919
9,18808,CENTRAL VERMONT PUB SERV,Electric Utilities,0.09960468486094148,0.019605966041732672
8,18926,CENTURYLINK INC,Diversified Telecommunication Services,-0.5597331816545849,0.22691748132521647
1,18937,CERADYNE INC,Aerospace & Defense,-0.04046021063210088,-0.17978097272576307
1,19411,MAGELLAN HEALTH INC,Health Care Providers & Services,0.15148895491875403,-0.10176082153611286
1,19446,CANTEL MEDICAL CORP,Health Care Equipment & Supplies,0.09735867150752246,0.013653805475948229
1,19520,CHATTEM INC,Personal Products,0.10120592193827924,0.014904218704116205
1,19584,CHEMED CORP,Health Care Providers & Services,0.08225309346935886,0.050980636027419694
1,19612,TCF FINANCIAL CORP,Banks,0.09735867150752246,0.013653805475948229
1,19617,JPMORGAN CHASE & CO,Banks,0.09735867150752246,0.013653805475948229
0,20171,CHUBB CORP,Insurance,0.09735867150752246,0.013653805475948229
5,20212,CHURCHILL DOWNS INC,"Hotels, Restaurants & Leisure",-0.4053200556315438,0.04661332685758891
1,20286,CINCINNATI FINANCIAL CORP,Insurance,-0.49064393143466345,0.32264866846418394
2,20520,FRONTIER COMMUNICATIONS CORP,Diversified Telecommunication Services,0.09735867150752246,0.013653805475948229
1,20740,CLARCOR INC,Machinery,-0.3562124314196687,-0.24768314356017357
1,21076,CLOROX CO/DE,Household Products,0.09735867150752246,0.013653805475948229
1,21344,COCA-COLA CO,Beverages,0.09735867150752246,0.013653805475948229
