labels,cik,conm,industry,Coord1,Coord2
1,1750,AAR CORP,Aerospace & Defense,0.26788224245201403,0.048274833784779224
8,1800,ABBOTT LABORATORIES,Health Care Equipment & Supplies,0.2832224090527657,0.05320521350408028
1,2034,ACETO CORP,Health Care Providers & Services,-0.28232546510805456,0.03647460784647262
1,2135,AFFILIATED COMPUTER SERVICES,IT Services,0.3055864753664557,0.05766782967407485
3,2488,ADVANCED MICRO DEVICES,Semiconductors & Semiconductor Equipment,0.30226390530066105,0.05669455921179953
1,2491,BALLY TECHNOLOGIES INC,"Hotels, Restaurants & Leisure",-0.5211731285024165,-0.13862636867173234
1,2809,AGNICO EAGLE MINES LTD,Metals & Mining,0.2609762005560951,-0.007931977209094387
1,2969,AIR PRODUCTS & CHEMICALS INC,Chemicals,0.26788224245201364,0.048274833784778766
7,3116,AKORN INC,Pharmaceuticals,0.326911785144948,0.06682731785787949
8,3453,MATSON INC,Marine,0.05430712783510154,-0.18217447374867438
0,3673,ALLEGHENY ENERGY INC,Electric Utilities,-0.2548877023464616,-0.15251052337143595
1,4127,SKYWORKS SOLUTIONS INC,Semiconductors & Semiconductor Equipment,-0.041031975401203014,-0.42106433069137056
5,4281,ARCONIC INC,Aerospace & Defense,0.32661047597091075,0.06596457311095358
9,4447,HESS CORP,"Oil, Gas & Consumable Fuels",-0.21479784031905716,0.634469374808107
3,4904,AMERICAN ELECTRIC POWER CO,Electric Utilities,-0.6568407484131034,0.24806084466916173
5,4962,AMERICAN EXPRESS CO,Consumer Finance,-0.6470131956560912,-0.05452834078743499
9,4977,AFLAC INC,Insurance,-0.2802115874959809,0.6610525030402403
1,5133,AMERICAN GREETINGS  -CL A,Household Durables,-0.5530935900890717,0.34728670370980014
6,5272,AMERICAN INTERNATIONAL GROUP,Insurance,0.2912239782002788,0.04646041933653273
6,5513,UNUM GROUP,Insurance,-0.26380667778695355,-0.3728548183754996
1,5768,AMERICAN SCIENCE ENGINEERING,Aerospace & Defense,-0.4832606905076281,-0.4154378652500035
0,5981,AMERICAN VANGUARD CORP,Chemicals,0.303050443650204,0.05836342761723381
5,6201,AMERICAN AIRLINES GROUP INC,Airlines,-0.11127719746377068,-0.4699069157885697
1,6281,ANALOG DEVICES,Semiconductors & Semiconductor Equipment,-0.3799276500088271,0.526663621572714
1,6284,ANALOGIC CORP,Health Care Equipment & Supplies,0.3157387957587564,0.06377814819362725
3,6769,APACHE CORP,"Oil, Gas & Consumable Fuels",0.2807082774825665,0.05054348989735954
1,6845,APOGEE ENTERPRISES INC,Building Products,-0.47711307842133677,-0.01138194796831951
1,6885,STAGE STORES INC,Specialty Retail,0.279023479792295,0.03869896858395668
1,6951,APPLIED MATERIALS INC,Semiconductors & Semiconductor Equipment,0.237651008760493,-0.07836276375230398
1,6955,ENERPAC TOOL GROUP CORP,Machinery,0.3029763026314572,0.05923710654187231
2,7084,ARCHER-DANIELS-MIDLAND CO,Food Products,0.283891255990101,0.05275306073175473
