labels,cik,conm,industry,Coord1,Coord2
1,1750,AAR CORP,Aerospace & Defense,-0.13453309242184205,-0.009610858093080807
6,1800,ABBOTT LABORATORIES,Health Care Equipment & Supplies,-0.14352521268179555,-0.015389850893698261
1,2034,ACETO CORP,Health Care Providers & Services,-0.022387519098059264,-0.008814444290684188
7,2135,AFFILIATED COMPUTER SERVICES,IT Services,-0.15825095247133258,-0.045127893277417355
2,2488,ADVANCED MICRO DEVICES,Semiconductors & Semiconductor Equipment,-0.1636709634168156,-0.05024587840890042
7,2491,BALLY TECHNOLOGIES INC,"Hotels, Restaurants & Leisure",0.3029927752884847,-0.03860233493684577
1,2809,AGNICO EAGLE MINES LTD,Metals & Mining,-0.16230155940856372,-0.051225495760202445
7,2969,AIR PRODUCTS & CHEMICALS INC,Chemicals,-0.13453309242184025,-0.009610858093074067
5,3116,AKORN INC,Pharmaceuticals,-0.16374410149805102,-0.1061828110303354
2,3453,MATSON INC,Marine,-0.023351903902811843,0.27919536176203613
0,3673,ALLEGHENY ENERGY INC,Electric Utilities,0.26775024098137706,-0.03500746098889474
7,4127,SKYWORKS SOLUTIONS INC,Semiconductors & Semiconductor Equipment,0.14462127460522264,0.08342104240384036
1,4281,ARCONIC INC,Aerospace & Defense,-0.15919150468163146,-0.0595662079947517
2,4447,HESS CORP,"Oil, Gas & Consumable Fuels",-0.1345330924218429,-0.009610858093081246
2,4904,AMERICAN ELECTRIC POWER CO,Electric Utilities,0.3023783285547267,-0.038561620273860786
4,4962,AMERICAN EXPRESS CO,Consumer Finance,0.29872701492753134,-0.038319675780324594
2,4977,AFLAC INC,Insurance,0.19651839365374776,0.12510278297564106
1,5133,AMERICAN GREETINGS  -CL A,Household Durables,0.30209902185555276,-0.03854311276539401
3,5272,AMERICAN INTERNATIONAL GROUP,Insurance,-0.1450719055140082,0.015998134470082893
2,5513,UNUM GROUP,Insurance,0.1015021324594977,0.32448153284415987
1,5768,AMERICAN SCIENCE ENGINEERING,Aerospace & Defense,0.29409444219244985,-0.04008129258129519
3,5981,AMERICAN VANGUARD CORP,Chemicals,-0.14899637788535366,-0.016103489135918157
1,6201,AMERICAN AIRLINES GROUP INC,Airlines,0.10764771422513503,0.32254528573992114
1,6281,ANALOG DEVICES,Semiconductors & Semiconductor Equipment,-0.13453309242184336,-0.009610858093080998
1,6284,ANALOGIC CORP,Health Care Equipment & Supplies,-0.15172159182360603,-0.043014811691294154
2,6769,APACHE CORP,"Oil, Gas & Consumable Fuels",-0.14134847025998953,-0.012688875048070276
1,6845,APOGEE ENTERPRISES INC,Building Products,0.29032068145382545,-0.03707865602291708
5,6885,STAGE STORES INC,Specialty Retail,-0.13507285562607096,0.12615811312233216
1,6951,APPLIED MATERIALS INC,Semiconductors & Semiconductor Equipment,-0.13156442492274062,0.1527753733092336
1,6955,ENERPAC TOOL GROUP CORP,Machinery,-0.14432693152471315,-0.018968867552751095
1,7084,ARCHER-DANIELS-MIDLAND CO,Food Products,-0.1420835002479026,-0.014289677637857932
8,7332,SOUTHWESTERN ENERGY CO,"Oil, Gas & Consumable Fuels",-0.15898768092603732,-0.04625370764328999
2,7536,ARROW ELECTRONICS INC,"Electronic Equipment, Instruments & Components",0.1928411003965993,-0.11682748161285
2,7789,ASSOCIATED BANC-CORP,Banks,0.29281421115084477,-0.0391356579308618
7,8411,ATWOOD OCEANICS,Energy Equipment & Services,0.29177945712871395,-0.03842350609175392
1,8670,AUTOMATIC DATA PROCESSING,IT Services,-0.16622466397622637,-0.11438358089334418
2,8818,AVERY DENNISON CORP,Containers & Packaging,-0.15887626470367208,-0.04608676114681207
1,8858,AVNET INC,"Electronic Equipment, Instruments & Components",0.2916059686135075,-0.03888582278240997
8,8868,AVON PRODUCTS,Personal Products,-0.15841715685673027,-0.04539961910806851
1,8947,AZZ INC,Electrical Equipment,0.19825429325879232,-0.11860032832428166
2,9092,BADGER METER INC,"Electronic Equipment, Instruments & Components",-0.14332333411303375,0.011677122609950427
4,9326,BALCHEM CORP  -CL B,Chemicals,0.30147135765893,-0.03850152228271578
9,9342,BALDOR ELECTRIC CO,Electrical Equipment,0.19243226963024093,0.12020206672287613
2,9389,BALL CORP,Containers & Packaging,0.4704088682444093,-0.04969571281552758
1,9631,BANK OF NOVA SCOTIA,Banks,0.29905206920900695,-0.038341214629498944
8,9892,BARD (C.R.) INC,Health Care Equipment & Supplies,-0.13453309242184316,-0.009610858093081268
2,9984,BARNES GROUP INC,Machinery,0.20339518801789747,-0.11638195169289907
2,10456,BAXTER INTERNATIONAL INC,Health Care Equipment & Supplies,0.30145204259302133,-0.0385002424217354
7,10795,BECTON DICKINSON & CO,Health Care Equipment & Supplies,0.3103631725838063,-0.0390907145237203
2,11199,BEMIS CO INC,Containers & Packaging,-0.1637439721393781,-0.10618238336898138
2,11544,BERKLEY (W R) CORP,Insurance,0.3135584255395055,-0.039302439381406984
2,12208,BIO-RAD LABORATORIES INC,Life Sciences Tools & Services,0.29923031839080266,-0.0383530258329222
7,12355,BLACK & DECKER CORP,Household Durables,0.3116941434186697,-0.03917890773236556
1,12659,BLOCK H & R INC,Diversified Consumer Services,-0.13080836764173184,-0.059807610200700245
8,12927,BOEING CO,Aerospace & Defense,-0.1408689209060723,-0.010418839592126163
2,12978,OFFICEMAX INC,Specialty Retail,0.1897258996611587,-0.11580723838119929
9,13610,BOWNE & CO INC,Commercial Services & Supplies,0.26693523518149637,-0.09004010888944236
1,14195,BRIGGS & STRATTON,Machinery,0.45873613089104137,-0.048990960664416015
3,14272,BRISTOL-MYERS SQUIBB CO,Pharmaceuticals,-0.15786051442960272,-0.04457286925055998
1,14693,BROWN FORMAN CORP,Beverages,0.12152757071921001,0.3492221216780785
5,14707,CALERES INC,Specialty Retail,-0.1409364283651987,-0.010436017178797602
8,14930,BRUNSWICK CORP,Leisure Products,-0.12452827612493,0.3227898717791426
0,15615,MASTEC INC,Construction & Engineering,0.19010838226101456,-0.07513304866547837
7,16040,CABOT CORP,Chemicals,0.07657721125738978,-0.09771299794964124
1,16058,CACI INTL INC  -CL A,IT Services,-0.1633127539783057,-0.10477329205186746
1,16160,CAL-MAINE FOODS INC,Food Products,-0.15613829561514797,-0.04212167227345125
1,16732,CAMPBELL SOUP CO,Food Products,-0.1438967901293735,-0.01563071112442262
1,16868,CANADIAN NATIONAL RAILWAY CO,Road & Rail,-0.1412816661487472,-0.012718212984046256
1,16873,NEXEN INC,"Oil, Gas & Consumable Fuels",-0.13453309242184316,-0.009610858093081265
1,16875,CANADIAN PACIFIC RAILWAY LTD,Road & Rail,-0.12915249351087543,-0.04643798291041603
1,16918,CONSTELLATION BRANDS,Beverages,-0.13453309242184316,-0.009610858093081265
1,16988,CANON INC,"Technology Hardware, Storage & Peripherals",-0.14323687201986676,0.011505941302840703
1,17843,CARPENTER TECHNOLOGY CORP,Metals & Mining,-0.13453309242184316,-0.009610858093081265
5,18061,CASCADE CORP,Machinery,-0.15811773763253262,-0.04495133820042375
1,18172,CASTLE (A M) & CO,Trading Companies & Distributors,-0.13715964998930558,0.23973809228214296
2,18230,CATERPILLAR INC,Machinery,-0.13453309242184316,-0.009610858093081265
5,18255,CATO CORP  -CL A,Specialty Retail,0.29912888270259363,-0.0383463044694032
2,18349,SYNOVUS FINANCIAL CORP,Banks,-0.12415088529960255,0.31590180865642853
2,18396,CDI CORP,Professional Services,0.34246883502512904,-0.04121811003999586
1,18498,GENESCO INC,Specialty Retail,0.3300455751255254,-0.03917668488766942
9,18808,CENTRAL VERMONT PUB SERV,Electric Utilities,-0.14476451088174935,0.04535516650111542
2,18926,CENTURYLINK INC,Diversified Telecommunication Services,0.4078442644864828,-0.03926738821711357
9,18937,CERADYNE INC,Aerospace & Defense,0.29862510253022984,-0.03864393029415007
1,19411,MAGELLAN HEALTH INC,Health Care Providers & Services,0.4139831669367397,-0.046429081122569126
1,19446,CANTEL MEDICAL CORP,Health Care Equipment & Supplies,-0.13453309242184316,-0.009610858093081265
7,19520,CHATTEM INC,Personal Products,-0.14119941743222758,-0.012676179214005275
2,19584,CHEMED CORP,Health Care Providers & Services,-0.13077325896811903,-0.06032431023591867
2,19612,TCF FINANCIAL CORP,Banks,0.2987270149275314,-0.038319675780324906
2,19617,JPMORGAN CHASE & CO,Banks,0.3115865125403908,-0.03917177586121099
9,20171,CHUBB CORP,Insurance,0.2987270149275314,-0.038319675780324906
2,20212,CHURCHILL DOWNS INC,"Hotels, Restaurants & Leisure",0.3591073823429037,-0.0417740081549686
2,20286,CINCINNATI FINANCIAL CORP,Insurance,0.30229459986212304,-0.041015780966520705
8,20520,FRONTIER COMMUNICATIONS CORP,Diversified Telecommunication Services,0.2987270149275314,-0.038319675780324906
1,20740,CLARCOR INC,Machinery,0.20168737610238402,-0.0659389473518156
1,21076,CLOROX CO/DE,Household Products,-0.13156185083201158,-0.04968761149860309
2,21344,COCA-COLA CO,Beverages,-0.15857087755477284,-0.045629167867343765
7,21510,COHERENT INC,"Electronic Equipment, Instruments & Components",0.3006293844131396,-0.03844573118632621
2,21535,COHU INC,Semiconductors & Semiconductor Equipment,-0.16252789262793021,-0.10212397939578798
2,21665,COLGATE-PALMOLIVE CO,Household Products,0.31184520678453514,-0.03904562612402827
2,22356,COMMERCE BANCSHARES INC,Banks,0.295239205445308,-0.03852677233251435
1,22444,COMMERCIAL METALS,Metals & Mining,0.29904837521689237,-0.03874130479941505
1,23197,COMTECH TELECOMMUN,Communications Equipment,-0.14222082948700124,-0.015697218141200276
1,23217,CONAGRA BRANDS INC,Food Products,-0.14582467989612594,-0.021707460953957168
1,23666,HILLSHIRE BRANDS CO,Food Products,-0.14382826352415007,-0.015581769804151274
2,23675,CON-WAY INC,Road & Rail,-0.1605285003507983,-0.048512489264516304
2,24491,COOPER TIRE & RUBBER CO,Auto Components,0.3227786484360529,-0.04175205602308389
4,24545,MOLSON COORS BEVERAGE CO,Beverages,0.2889696433784062,-0.036676804095815516
8,24741,CORNING INC,"Electronic Equipment, Instruments & Components",0.21340334312129952,0.15513126267438385
