labels,cik,conm,industry,Coord1,Coord2
0,1750,AAR CORP,Aerospace & Defense,-0.36192702348795036,-0.08565971928328715
9,1800,ABBOTT LABORATORIES,Health Care Equipment & Supplies,-0.38820427711441297,-0.0995098858242477
0,2034,ACETO CORP,Health Care Providers & Services,0.43107335681258024,-0.2768267071067897
0,2135,AFFILIATED COMPUTER SERVICES,IT Services,-0.42082343873074035,-0.113742640981894
2,2488,ADVANCED MICRO DEVICES,Semiconductors & Semiconductor Equipment,-0.41496590680740436,-0.11082760244005084
0,2491,BALLY TECHNOLOGIES INC,"Hotels, Restaurants & Leisure",0.5629587705936889,-0.05395178023388255
0,2809,AGNICO EAGLE MINES LTD,Metals & Mining,-0.41454441901211675,-0.06361980910033828
0,2969,AIR PRODUCTS & CHEMICALS INC,Chemicals,-0.36192702348795314,-0.08565971928327246
3,3116,AKORN INC,Pharmaceuticals,-0.4613796043984419,-0.14467086171236776
2,3453,MATSON INC,Marine,-0.12049940187641674,0.46222922830388846
6,3673,ALLEGHENY ENERGY INC,Electric Utilities,0.46624561641889434,0.011103310069818738
0,4127,SKYWORKS SOLUTIONS INC,Semiconductors & Semiconductor Equipment,0.08531730455925379,0.38825627155832726
7,4281,ARCONIC INC,Aerospace & Defense,-0.459142627365839,-0.1425457430042721
2,4447,HESS CORP,"Oil, Gas & Consumable Fuels",0.07297026372453701,-0.5308462024965014
2,4904,AMERICAN ELECTRIC POWER CO,Electric Utilities,0.587690399702834,0.012762125892439026
2,4962,AMERICAN EXPRESS CO,Consumer Finance,0.6014392495079361,-0.04230297985974419
2,4977,AFLAC INC,Insurance,0.5516511203216302,-0.01531087091637168
0,5133,AMERICAN GREETINGS  -CL A,Household Durables,0.5748717567698194,-0.09817011285353229
2,5272,AMERICAN INTERNATIONAL GROUP,Insurance,-0.39254948992215505,-0.07542113376241065
2,5513,UNUM GROUP,Insurance,0.43890907389245964,-0.03364263502878341
0,5768,AMERICAN SCIENCE ENGINEERING,Aerospace & Defense,0.5905316599570077,0.0031980918822938215
3,5981,AMERICAN VANGUARD CORP,Chemicals,-0.4088561299314215,-0.10832244879405427
7,6201,AMERICAN AIRLINES GROUP INC,Airlines,-0.047083793264322604,0.5788063872795549
0,6281,ANALOG DEVICES,Semiconductors & Semiconductor Equipment,0.24979542424928322,-0.549031649238795
0,6284,ANALOGIC CORP,Health Care Equipment & Supplies,-0.4420453085426131,-0.13211385797069228
8,6769,APACHE CORP,"Oil, Gas & Consumable Fuels",-0.3791867180686197,-0.10318764811578826
0,6845,APOGEE ENTERPRISES INC,Building Products,0.4445365096858466,0.18403165779696784
5,6885,STAGE STORES INC,Specialty Retail,-0.39683285644529764,-0.05812765946766809
0,6951,APPLIED MATERIALS INC,Semiconductors & Semiconductor Equipment,-0.39339005075124733,0.20175477555516624
0,6955,ENERPAC TOOL GROUP CORP,Machinery,-0.4172295116727542,-0.11660240317151357
4,7084,ARCHER-DANIELS-MIDLAND CO,Food Products,-0.39046921723147804,-0.10046302102822206
2,7332,SOUTHWESTERN ENERGY CO,"Oil, Gas & Consumable Fuels",-0.05581813919493171,-0.38511518753027396
2,7536,ARROW ELECTRONICS INC,"Electronic Equipment, Instruments & Components",0.458866455653396,-0.01388847837836844
2,7789,ASSOCIATED BANC-CORP,Banks,0.5759687907094859,-0.10813753713843374
0,8411,ATWOOD OCEANICS,Energy Equipment & Services,0.6018656450544453,-0.04518937773889515
0,8670,AUTOMATIC DATA PROCESSING,IT Services,-0.45543399441380683,-0.14180652150995793
2,8818,AVERY DENNISON CORP,Containers & Packaging,-0.4412633356633733,-0.12487838516781605
0,8858,AVNET INC,"Electronic Equipment, Instruments & Components",0.5587875190173112,0.0069663079844800736
2,8868,AVON PRODUCTS,Personal Products,-0.4469383378741761,-0.12749004836175495
0,8947,AZZ INC,Electrical Equipment,0.54114843055599,-0.03592627719927687
8,9092,BADGER METER INC,"Electronic Equipment, Instruments & Components",-0.4039423015388278,-0.0900834334524548
8,9326,BALCHEM CORP  -CL B,Chemicals,0.32177800871700407,0.2828703950257513
3,9342,BALDOR ELECTRIC CO,Electrical Equipment,0.36768146252301515,0.18925683270172022
2,9389,BALL CORP,Containers & Packaging,0.08351286856620171,0.5413237553876472
0,9631,BANK OF NOVA SCOTIA,Banks,0.42393120436706017,-0.014180760672781083
2,9892,BARD (C.R.) INC,Health Care Equipment & Supplies,-0.3672106508457199,-0.08991943900595765
9,9984,BARNES GROUP INC,Machinery,0.4277805285796143,-0.06878884713849748
2,10456,BAXTER INTERNATIONAL INC,Health Care Equipment & Supplies,0.5045198613741958,-0.21347915556988487
0,10795,BECTON DICKINSON & CO,Health Care Equipment & Supplies,0.5807022829439712,0.014151628015686058
8,11199,BEMIS CO INC,Containers & Packaging,-0.4616408627021332,-0.14490465613326128
2,11544,BERKLEY (W R) CORP,Insurance,0.4730733172399666,0.1812324284954499
6,12208,BIO-RAD LABORATORIES INC,Life Sciences Tools & Services,0.5884433296909992,0.009538758561592923
1,12355,BLACK & DECKER CORP,Household Durables,0.2319403075684489,0.42093270965531937
0,12659,BLOCK H & R INC,Diversified Consumer Services,-0.030380220358858394,-0.016469140783154135
2,12927,BOEING CO,Aerospace & Defense,-0.4032335856674144,-0.10490399771588849
8,12978,OFFICEMAX INC,Specialty Retail,0.4583996545995384,-0.15664728859275315
3,13610,BOWNE & CO INC,Commercial Services & Supplies,0.3388233310169015,0.2483411447958843
0,14195,BRIGGS & STRATTON,Machinery,0.005111734332120102,0.5416463970318868
2,14272,BRISTOL-MYERS SQUIBB CO,Pharmaceuticals,-0.4458849724481049,-0.12701690855557068
0,14693,BROWN FORMAN CORP,Beverages,0.5183847040703784,-0.06508116809301075
5,14707,CALERES INC,Specialty Retail,-0.40419562077863835,-0.10544480322924153
2,14930,BRUNSWICK CORP,Leisure Products,-0.39762366743827066,0.2155939136371081
2,15615,MASTEC INC,Construction & Engineering,0.5640081034167557,-0.07979494883848263
0,16040,CABOT CORP,Chemicals,0.3740086417157317,-0.043277630691776994
0,16058,CACI INTL INC  -CL A,IT Services,-0.46350432270794634,-0.14599904652027487
0,16160,CAL-MAINE FOODS INC,Food Products,-0.448066948970275,-0.1282799611115512
0,16732,CAMPBELL SOUP CO,Food Products,-0.41177240174890056,-0.11022137003594158
0,16868,CANADIAN NATIONAL RAILWAY CO,Road & Rail,-0.3873051967341699,-0.09868636586718786
1,16873,NEXEN INC,"Oil, Gas & Consumable Fuels",-0.3619270234879511,-0.08565971928328765
7,16875,CANADIAN PACIFIC RAILWAY LTD,Road & Rail,0.01531636258733623,0.009740614801564311
0,16918,CONSTELLATION BRANDS,Beverages,0.07055218405644896,-0.5292162919452567
0,16988,CANON INC,"Technology Hardware, Storage & Peripherals",-0.3981117073173242,-0.06701259861071482
0,17843,CARPENTER TECHNOLOGY CORP,Metals & Mining,-0.3619270234879514,-0.08565971928328825
0,18061,CASCADE CORP,Machinery,-0.44691526887233723,-0.12748828964488668
0,18172,CASTLE (A M) & CO,Trading Companies & Distributors,-0.3930836650210525,-0.0342409368189418
2,18230,CATERPILLAR INC,Machinery,-0.2880119218988254,-0.09345885766158307
5,18255,CATO CORP  -CL A,Specialty Retail,0.5400306045760348,-0.1591058335492492
6,18349,SYNOVUS FINANCIAL CORP,Banks,-0.4115495725101288,0.3252742314306395
3,18396,CDI CORP,Professional Services,0.3169158874268244,0.4181085263146743
5,18498,GENESCO INC,Specialty Retail,-0.0637731753215984,0.735771725309533
3,18808,CENTRAL VERMONT PUB SERV,Electric Utilities,-0.41686247073939836,0.15177255451583183
8,18926,CENTURYLINK INC,Diversified Telecommunication Services,0.017940385303069007,0.6643440015375794
8,18937,CERADYNE INC,Aerospace & Defense,0.3295409852914588,0.32493138329370336
2,19411,MAGELLAN HEALTH INC,Health Care Providers & Services,0.3450715177672719,0.31987589236917147
0,19446,CANTEL MEDICAL CORP,Health Care Equipment & Supplies,0.40782442704973315,-0.06116691222081417
0,19520,CHATTEM INC,Personal Products,-0.38530163335682405,-0.09752542773182142
2,19584,CHEMED CORP,Health Care Providers & Services,-0.2789961354053111,-0.11539867791987157
8,19612,TCF FINANCIAL CORP,Banks,0.6014392495079346,-0.04230297985974492
2,19617,JPMORGAN CHASE & CO,Banks,0.5066617976990695,0.14273058087877427
8,20171,CHUBB CORP,Insurance,0.5170022651552343,0.00912164806802952
8,20212,CHURCHILL DOWNS INC,"Hotels, Restaurants & Leisure",0.4195396734068842,0.27942072800403284
2,20286,CINCINNATI FINANCIAL CORP,Insurance,0.34440640388532406,0.2321546056904678
8,20520,FRONTIER COMMUNICATIONS CORP,Diversified Telecommunication Services,0.6014392495079323,-0.04230297985974499
0,20740,CLARCOR INC,Machinery,0.3844429228806986,0.25886758575641344
0,21076,CLOROX CO/DE,Household Products,-0.30011935416520313,-0.1129710575235547
2,21344,COCA-COLA CO,Beverages,-0.44139389682531305,-0.12495519963141077
0,21510,COHERENT INC,"Electronic Equipment, Instruments & Components",0.5400305648157823,-0.15761531601390627
