labels,cik,conm,industry,Coord1,Coord2,2,3,4
3,1750.0,AAR CORP,Aerospace & Defense,0.12435265082271979,0.010131053807083679,-0.02786225452332294,-0.05019777387845071,-0.009332853408900945
4,1800.0,ABBOTT LABORATORIES,Health Care Equipment & Supplies,-0.06846881919674719,0.004395344189917693,-0.19032632830674656,-0.007296594223356686,0.033755071057146986
3,2034.0,ACETO CORP,Health Care Providers & Services,0.07526260713202429,-0.060361816040939105,-0.011098099533778341,-0.039273912949267326,-0.057480137434093144
1,2135.0,AFFILIATED COMPUTER SERVICES,IT Services,0.03444199442732058,-0.009028104211418371,0.040340620047930535,-0.0211085110931856,-0.028114974603716657
1,2488.0,ADVANCED MICRO DEVICES,Semiconductors & Semiconductor Equipment,0.08189647150625425,-0.05037963077216038,0.12346132120087998,-0.016605433235078997,-0.0069266319913739195
9,2491.0,BALLY TECHNOLOGIES INC,"Hotels, Restaurants & Leisure",0.03407857180949366,-0.015207870328804014,0.006475997683007252,0.04510715169246341,-0.03083430965524965
6,2809.0,AGNICO EAGLE MINES LTD,Metals & Mining,-0.04167018257760462,0.15311945119644424,0.08911169054927862,0.06787747568475133,0.02287183290144134
6,2969.0,AIR PRODUCTS & CHEMICALS INC,Chemicals,0.008971919195270414,0.0337906437986275,0.02162883318310411,-0.04433474416873834,-0.051196664772348285
4,3116.0,AKORN INC,Pharmaceuticals,0.017674927500924257,-0.028837700830513634,-0.08277151211504703,0.05275670149657725,0.15254120009979538
1,3453.0,MATSON INC,Marine,0.06803584174713855,0.0177833882942853,0.03619005156990294,-0.0658315099754052,-0.02379205905787582
8,3673.0,ALLEGHENY ENERGY INC,Electric Utilities,0.13606403859062102,0.06665678649622975,-0.1340380513315002,-0.08842077693428187,0.10407518190199996
6,4127.0,SKYWORKS SOLUTIONS INC,Semiconductors & Semiconductor Equipment,0.0423068918680546,0.0029524278034103093,0.046705726172628685,-0.0036190670768193774,0.0031714609805667073
0,4281.0,ARCONIC INC,Aerospace & Defense,-0.11652229286439432,0.003911830750924496,-0.0018330695780597482,-0.01055722060646055,0.006105941062573702
2,4447.0,HESS CORP,"Oil, Gas & Consumable Fuels",0.04175406606670258,0.2764052512867631,-0.07657717769568417,-0.010941846892043174,-0.06972222794582986
4,4904.0,AMERICAN ELECTRIC POWER CO,Electric Utilities,0.05397257798668222,-0.0091426760733387,-0.25998571549957444,0.04329024009580308,0.029131024831545362
9,4962.0,AMERICAN EXPRESS CO,Consumer Finance,0.019364624551375633,-0.04839878507037627,-0.0391313993394965,-0.021793547687423562,0.03174847646138324
0,4977.0,AFLAC INC,Insurance,-0.05399660943811703,0.016442140762640913,0.0007406471639215692,-0.025504799698263858,0.03489334593903001
3,5133.0,AMERICAN GREETINGS  -CL A,Household Durables,0.02034624748321963,-0.03037592116630799,-0.08396634612070718,-0.0023548532506344807,0.004515772813389808
0,5272.0,AMERICAN INTERNATIONAL GROUP,Insurance,-0.056246118681873056,-0.02772354344175073,-0.014715314480138658,-0.023245818388425106,-0.02140871943364379
3,5513.0,UNUM GROUP,Insurance,0.03202266554228946,-0.05569436682978223,-0.07600862125856106,-0.12009065505619937,0.009490284748781504
6,5768.0,AMERICAN SCIENCE ENGINEERING,Aerospace & Defense,0.05412211626779255,0.03801028991868408,0.029856472119827192,0.05265630248425376,-0.0450562395527734
1,5981.0,AMERICAN VANGUARD CORP,Chemicals,0.05324441842120089,-0.02953342081166216,0.08541185612093054,0.01143552152822207,-0.07708956340289784
