labels,cik,conm,industry,Coord1,Coord2,2,3,4
0,1750,AAR CORP,Aerospace & Defense,-0.15573182250750206,-0.0018116557667311759,-0.017643533040819684,-0.01951390532589215,-0.022204353570084087
8,1800,ABBOTT LABORATORIES,Health Care Equipment & Supplies,-0.16547947473901783,-0.0025792222555945732,-0.03369305079591629,-0.010078483317557204,-0.03308795184765599
2,2034,ACETO CORP,Health Care Providers & Services,-0.054632077350862736,-0.12248202532067495,-0.08850703771700531,-0.1593067950065767,0.3037748240081364
2,2135,AFFILIATED COMPUTER SERVICES,IT Services,-0.182926009322118,-0.008405203511797042,-0.17572173236982114,0.4186044027227632,0.11647247000739752
1,2488,ADVANCED MICRO DEVICES,Semiconductors & Semiconductor Equipment,-0.19022440417387526,-0.009760815739426679,-0.2057428741024706,0.49117444975010993,0.1357156373780215
2,2491,BALLY TECHNOLOGIES INC,"Hotels, Restaurants & Leisure",0.33094079148541833,-0.0422991489757292,-0.007650018100534731,0.00944082086353503,-0.021401838607946578
0,2809,AGNICO EAGLE MINES LTD,Metals & Mining,-0.1874273219985462,-0.009477090699162796,-0.2019285515789651,0.4913173048479307,0.13939700731558857
3,2969,AIR PRODUCTS & CHEMICALS INC,Chemicals,-0.15573182250749706,-0.0018116557667315302,-0.01764353304082025,-0.0195139053258925,-0.02220435357008313
9,3116,AKORN INC,Pharmaceuticals,-0.18916077582561905,-0.17030833642255452,0.42652346928629614,0.10105665070447775,0.06240147520328432
1,3453,MATSON INC,Marine,0.04223852129715382,0.255402458882448,0.05960106277458144,-0.04036220879416322,0.16570597580500068
5,3673,ALLEGHENY ENERGY INC,Electric Utilities,0.30351160793718157,-0.03397637369903427,-0.006718673321621927,0.00589205431906773,-0.011118980122080159
3,4127,SKYWORKS SOLUTIONS INC,Semiconductors & Semiconductor Equipment,0.22172393695433001,0.07677685438833091,-0.029802424669621453,0.07584944760482686,0.19551328071524984
0,4281,ARCONIC INC,Aerospace & Defense,-0.18477192381231108,-0.09816057158505362,0.233881551101227,0.028451813437021314,-0.020664328531301217
