labels,cik,conm,industry,Coord1,Coord2,2,3,4
1,1750,AAR CORP,Aerospace & Defense,-0.36192702348795036,-0.08565971928328715,-0.10760282086252848,-0.011669383449749505,-0.03374658421292074
9,1800,ABBOTT LABORATORIES,Health Care Equipment & Supplies,-0.38820427711441297,-0.0995098858242477,-0.1264478854561759,-0.01488175326277252,-0.07920306838453033
7,2034,ACETO CORP,Health Care Providers & Services,0.43107335681258024,-0.2768267071067897,-0.08571544283883997,0.16429634372248894,0.021122878295159967
7,2135,AFFILIATED COMPUTER SERVICES,IT Services,-0.42082343873074035,-0.113742640981894,-0.1613118100811246,-0.03815060396988362,-0.3195040043083352
0,2488,ADVANCED MICRO DEVICES,Semiconductors & Semiconductor Equipment,-0.41496590680740436,-0.11082760244005084,-0.15738434631077394,-0.03943997561449815,-0.3092309701700839
7,2491,BALLY TECHNOLOGIES INC,"Hotels, Restaurants & Leisure",0.5629587705936889,-0.05395178023388255,-0.0980044137570622,-0.03376257863251437,-0.029248170922792065
1,2809,AGNICO EAGLE MINES LTD,Metals & Mining,-0.41454441901211675,-0.06361980910033828,-0.16322990275754035,-0.1128649471391592,-0.2907336503236801
8,2969,AIR PRODUCTS & CHEMICALS INC,Chemicals,-0.36192702348795314,-0.08565971928327246,-0.10760282086252289,-0.011669383449746636,-0.03374658421292134
3,3116,AKORN INC,Pharmaceuticals,-0.4613796043984419,-0.14467086171236776,-0.22561518537930667,-0.2707471006545479,0.6721225172998241
0,3453,MATSON INC,Marine,-0.12049940187641674,0.46222922830388846,0.39031596026195187,-0.06452018401858942,-0.010978336783732397
5,3673,ALLEGHENY ENERGY INC,Electric Utilities,0.46624561641889434,0.011103310069818738,-0.12743690798754478,0.12921198831397282,-0.0035210098735766384
8,4127,SKYWORKS SOLUTIONS INC,Semiconductors & Semiconductor Equipment,0.08531730455925379,0.38825627155832726,-0.25164597958379975,-0.161013491930467,-0.10551681390800369
2,4281,ARCONIC INC,Aerospace & Defense,-0.459142627365839,-0.1425457430042721,-0.22019538578135808,-0.24723370410665954,0.5933288566794723
0,4447,HESS CORP,"Oil, Gas & Consumable Fuels",0.07297026372453701,-0.5308462024965014,0.47117073302073886,-0.26975125975193187,-0.15395812412022572
0,4904,AMERICAN ELECTRIC POWER CO,Electric Utilities,0.587690399702834,0.012762125892439026,-0.09641784566559938,-0.09192320214716966,-0.03546940902392229
0,4962,AMERICAN EXPRESS CO,Consumer Finance,0.6014392495079361,-0.04230297985974419,-0.13893492508412653,-0.03228761965626905,-0.046682624451452825
0,4977,AFLAC INC,Insurance,0.5516511203216302,-0.01531087091637168,-0.07168981835893803,-0.06652028687033446,-0.01642329557186977
1,5133,AMERICAN GREETINGS  -CL A,Household Durables,0.5748717567698194,-0.09817011285353229,-0.15076554495178152,0.02598074780402887,-0.040267685663106983
0,5272,AMERICAN INTERNATIONAL GROUP,Insurance,-0.39254948992215505,-0.07542113376241065,-0.10528208591079141,0.015253597019947248,-0.046331370072011324
0,5513,UNUM GROUP,Insurance,0.43890907389245964,-0.03364263502878341,0.045832048519027564,-0.0833345834278816,0.029153102737463254
1,5768,AMERICAN SCIENCE ENGINEERING,Aerospace & Defense,0.5905316599570077,0.0031980918822938215,-0.09064498371464486,-0.0879977116393155,-0.03305450479544914
3,5981,AMERICAN VANGUARD CORP,Chemicals,-0.4088561299314215,-0.10832244879405427,-0.14848377950197053,-0.023230186795883873,-0.09551944709351913
2,6201,AMERICAN AIRLINES GROUP INC,Airlines,-0.047083793264322604,0.5788063872795549,0.22735101912821823,0.040471194663135,0.07094604489723452
8,6281,ANALOG DEVICES,Semiconductors & Semiconductor Equipment,0.24979542424928322,-0.549031649238795,0.4263766833874734,-0.10289771435908322,0.03045729092755618
1,6284,ANALOGIC CORP,Health Care Equipment & Supplies,-0.4420453085426131,-0.13211385797069228,-0.19959748764956448,-0.20490708411549682,0.4764467300810562
6,6769,APACHE CORP,"Oil, Gas & Consumable Fuels",-0.3791867180686197,-0.10318764811578826,-0.13886218906518874,-0.0034292134922188225,-0.0891654146551924
1,6845,APOGEE ENTERPRISES INC,Building Products,0.4445365096858466,0.18403165779696784,-0.0017415397879128806,-0.05457278150455476,0.021130985474575027
4,6885,STAGE STORES INC,Specialty Retail,-0.39683285644529764,-0.05812765946766809,-0.0974916220486718,0.025614782508408998,-0.04280768878503729
1,6951,APPLIED MATERIALS INC,Semiconductors & Semiconductor Equipment,-0.39339005075124733,0.20175477555516624,0.13282019879645593,0.009441734819351582,0.03368167201990098
1,6955,ENERPAC TOOL GROUP CORP,Machinery,-0.4172295116727542,-0.11660240317151357,-0.1679078004437258,-0.10080113729396596,0.19211533796909627
2,7084,ARCHER-DANIELS-MIDLAND CO,Food Products,-0.39046921723147804,-0.10046302102822206,-0.13318542360269028,-0.036858572919226805,-0.00335623804039733
0,7332,SOUTHWESTERN ENERGY CO,"Oil, Gas & Consumable Fuels",-0.05581813919493171,-0.38511518753027396,0.15214481165701113,-0.0931770039998982,-0.30584053901832636
0,7536,ARROW ELECTRONICS INC,"Electronic Equipment, Instruments & Components",0.458866455653396,-0.01388847837836844,-0.10321356666617347,0.09697404050069192,0.007040973958940556
0,7789,ASSOCIATED BANC-CORP,Banks,0.5759687907094859,-0.10813753713843374,-0.14388194851376263,0.02851833909683305,-0.03883460021691915
8,8411,ATWOOD OCEANICS,Energy Equipment & Services,0.6018656450544453,-0.04518937773889515,-0.13785562851911842,-0.03007081585046405,-0.045468324686839166
7,8670,AUTOMATIC DATA PROCESSING,IT Services,-0.45543399441380683,-0.14180652150995793,-0.219976009936578,-0.2586429210937796,0.6439926046194046
0,8818,AVERY DENNISON CORP,Containers & Packaging,-0.4412633356633733,-0.12487838516781605,-0.18347383976636855,-0.05409562922889494,-0.4646430333085679
7,8858,AVNET INC,"Electronic Equipment, Instruments & Components",0.5587875190173112,0.0069663079844800736,-0.05114184778441,-0.09214218008318469,-0.030197073402795743
0,8868,AVON PRODUCTS,Personal Products,-0.4469383378741761,-0.12749004836175495,-0.18906052388805994,-0.05821832445023438,-0.5025049274959138
1,8947,AZZ INC,Electrical Equipment,0.54114843055599,-0.03592627719927687,-0.20620179589714802,0.042749094298468876,8.05913870577974e-05
6,9092,BADGER METER INC,"Electronic Equipment, Instruments & Components",-0.4039423015388278,-0.0900834334524548,-0.12691868289724248,0.0021137134070427516,-0.07134596848712484
6,9326,BALCHEM CORP  -CL B,Chemicals,0.32177800871700407,0.2828703950257513,0.10620932244753634,-0.07922351413032956,-0.0568286128897357
3,9342,BALDOR ELECTRIC CO,Electrical Equipment,0.36768146252301515,0.18925683270172022,0.12837954193065587,-0.13698116964195267,0.035425274060257896
0,9389,BALL CORP,Containers & Packaging,0.08351286856620171,0.5413237553876472,-0.17813198063513347,-0.3565685963914402,-0.12549085322822962
1,9631,BANK OF NOVA SCOTIA,Banks,0.42393120436706017,-0.014180760672781083,-0.16102053296000005,0.257102015549909,-0.028878270671222766
0,9892,BARD (C.R.) INC,Health Care Equipment & Supplies,-0.3672106508457199,-0.08991943900595765,-0.1284642818532427,0.003349640395888287,-0.03886262562664189
0,9984,BARNES GROUP INC,Machinery,0.4277805285796143,-0.06878884713849748,-0.35511843541079385,0.24194342800542107,0.06348354522664035
0,10456,BAXTER INTERNATIONAL INC,Health Care Equipment & Supplies,0.5045198613741958,-0.21347915556988487,-0.13011011479525808,0.11378201326254814,-0.016121892823871033
8,10795,BECTON DICKINSON & CO,Health Care Equipment & Supplies,0.5807022829439712,0.014151628015686058,-0.21968993739880463,-2.6765932355953773e-05,-0.015424821341427026
6,11199,BEMIS CO INC,Containers & Packaging,-0.4616408627021332,-0.14490465613326128,-0.22639641018739023,-0.2721437488554751,0.6763733950337143
0,11544,BERKLEY (W R) CORP,Insurance,0.4730733172399666,0.1812324284954499,-0.006688385865983864,-0.1818358489925821,0.018394106125616285
5,12208,BIO-RAD LABORATORIES INC,Life Sciences Tools & Services,0.5884433296909992,0.009538758561592923,-0.09280385366353955,-0.0905850712174893,-0.03375581980500497
5,12355,BLACK & DECKER CORP,Household Durables,0.2319403075684489,0.42093270965531937,-0.1707334935504171,0.1148398540441983,-0.04189524353123056
1,12659,BLOCK H & R INC,Diversified Consumer Services,-0.030380220358858394,-0.016469140783154135,-0.3873993451850078,0.18751369226924453,-0.06601352899088035
0,12927,BOEING CO,Aerospace & Defense,-0.4032335856674144,-0.10490399771588849,-0.1424816569455879,-0.023656125787257617,-0.08620408621524851
5,12978,OFFICEMAX INC,Specialty Retail,0.4583996545995384,-0.15664728859275315,-0.20774247181877764,0.14743146959893497,0.016690708083448216
3,13610,BOWNE & CO INC,Commercial Services & Supplies,0.3388233310169015,0.2483411447958843,-0.49806466522668263,0.055794639309539845,-0.07724249080093809
7,14195,BRIGGS & STRATTON,Machinery,0.005111734332120102,0.5416463970318868,-0.09301966067809854,-0.38436392083729154,-0.09364377655057286
0,14272,BRISTOL-MYERS SQUIBB CO,Pharmaceuticals,-0.4458849724481049,-0.12701690855557068,-0.18792085292434524,-0.057521668746315854,-0.49336562672001244
1,14693,BROWN FORMAN CORP,Beverages,0.5183847040703784,-0.06508116809301075,-0.10111373984782704,-0.003621777251315776,-0.010880425254427555
4,14707,CALERES INC,Specialty Retail,-0.40419562077863835,-0.10544480322924153,-0.14355174706696264,-0.023487846337992627,-0.08817850434372934
0,14930,BRUNSWICK CORP,Leisure Products,-0.39762366743827066,0.2155939136371081,0.14668063246466,0.07144240640353676,0.02266028295531237
