labels,cik,conm,industry,Coord1,Coord2
2,1750.0,AAR CORP,Aerospace & Defense,-0.09571485022935448,0.06740812430145342
8,1800.0,ABBOTT LABORATORIES,Health Care Equipment & Supplies,0.14963055345670406,-0.05300714219772248
8,2034.0,ACETO CORP,Health Care Providers & Services,-0.01310960350913906,-0.02367043362454181
2,2135.0,AFFILIATED COMPUTER SERVICES,IT Services,-0.056473848386005054,0.12157000241804443
2,2488.0,ADVANCED MICRO DEVICES,Semiconductors & Semiconductor Equipment,-0.1066562757516575,0.18103206869877558
2,2491.0,BALLY TECHNOLOGIES INC,"Hotels, Restaurants & Leisure",-0.10411363267186587,0.0229875127211762
9,2809.0,AGNICO EAGLE MINES LTD,Metals & Mining,0.22447032623466062,0.26622555845630386
6,2969.0,AIR PRODUCTS & CHEMICALS INC,Chemicals,-0.25321862338359347,-0.09710734367922816
9,3116.0,AKORN INC,Pharmaceuticals,0.08361626301770289,0.11801643458366536
5,3453.0,MATSON INC,Marine,-0.1897049648416647,-0.18633101244771536
2,3673.0,ALLEGHENY ENERGY INC,Electric Utilities,-0.11243688279871958,0.030064714316123196
3,4127.0,SKYWORKS SOLUTIONS INC,Semiconductors & Semiconductor Equipment,-0.07549862413113284,0.3458694562626494
4,4281.0,ARCONIC INC,Aerospace & Defense,0.32453952942506703,-0.023213519614969844
8,4447.0,HESS CORP,"Oil, Gas & Consumable Fuels",0.10381268069114741,-0.11096826267767149
7,4904.0,AMERICAN ELECTRIC POWER CO,Electric Utilities,-0.04192903409426005,-0.15364435374045782
5,4962.0,AMERICAN EXPRESS CO,Consumer Finance,-0.35688670367826203,-0.18896519254033645
5,4977.0,AFLAC INC,Insurance,-0.26794363837124696,-0.2591226261589778
6,5133.0,AMERICAN GREETINGS  -CL A,Household Durables,-0.24574244696559988,0.009175090397408462
0,5272.0,AMERICAN INTERNATIONAL GROUP,Insurance,-0.13457019330359374,-0.10342155099909063
5,5513.0,UNUM GROUP,Insurance,-0.19066120595102612,-0.35190171804337295
1,5768.0,AMERICAN SCIENCE ENGINEERING,Aerospace & Defense,0.14535542893126266,0.06017997736952527
8,5981.0,AMERICAN VANGUARD CORP,Chemicals,0.10502325137777596,0.019782126562004204
4,6201.0,AMERICAN AIRLINES GROUP INC,Airlines,0.37754749272051286,-0.14681221996258179
3,6281.0,ANALOG DEVICES,Semiconductors & Semiconductor Equipment,-0.15426949232229353,0.38808599985171405
9,6284.0,ANALOGIC CORP,Health Care Equipment & Supplies,0.019477145370537727,0.11271238939081288
8,6769.0,APACHE CORP,"Oil, Gas & Consumable Fuels",0.07706878297528222,-0.09407803718501123
0,6845.0,APOGEE ENTERPRISES INC,Building Products,-0.0810204855847725,-0.091136635363626
8,6885.0,STAGE STORES INC,Specialty Retail,0.07035760811772199,-0.12910419618128227
3,6951.0,APPLIED MATERIALS INC,Semiconductors & Semiconductor Equipment,-0.17713490506041626,0.30966320023176447
6,6955.0,ENERPAC TOOL GROUP CORP,Machinery,-0.169542159514984,-0.01848103443278708
8,7084.0,ARCHER-DANIELS-MIDLAND CO,Food Products,0.13266736546725938,-0.028224311608218904
1,7332.0,SOUTHWESTERN ENERGY CO,"Oil, Gas & Consumable Fuels",0.16555187800230822,-0.01662468480521512
2,7536.0,ARROW ELECTRONICS INC,"Electronic Equipment, Instruments & Components",-0.23647605717162012,0.1248712781790453
7,7789.0,ASSOCIATED BANC-CORP,Banks,0.017624117739122588,-0.27523313333584926
2,8411.0,ATWOOD OCEANICS,Energy Equipment & Services,-0.05883049730756771,0.1277642154774604
0,8670.0,AUTOMATIC DATA PROCESSING,IT Services,-0.07276746721590843,0.0025437547325765602
5,8818.0,AVERY DENNISON CORP,Containers & Packaging,-0.19519577650705922,-0.16284939080768845
2,8858.0,AVNET INC,"Electronic Equipment, Instruments & Components",-0.23422728508331603,0.14109689891110808
0,8868.0,AVON PRODUCTS,Personal Products,-0.05384837279230633,-0.11194035539092348
0,8947.0,AZZ INC,Electrical Equipment,-0.05360141292374129,-0.009431391157066402
0,9092.0,BADGER METER INC,"Electronic Equipment, Instruments & Components",-0.07615068885227841,-0.04936598407657084
8,9326.0,BALCHEM CORP  -CL B,Chemicals,0.08463201847957778,-0.01403712270028423
6,9342.0,BALDOR ELECTRIC CO,Electrical Equipment,-0.36959163390303235,-0.06858473357382285
8,9389.0,BALL CORP,Containers & Packaging,0.014379211044849797,-0.10175039916647745
0,9631.0,BANK OF NOVA SCOTIA,Banks,-0.16522515474465319,-0.09491227944052576
8,9892.0,BARD (C.R.) INC,Health Care Equipment & Supplies,0.004990183140871965,0.0333398338999375
5,9984.0,BARNES GROUP INC,Machinery,-0.2120938754799352,-0.24229803818211273
8,10456.0,BAXTER INTERNATIONAL INC,Health Care Equipment & Supplies,0.024437042372921686,0.013828218317264883
8,10795.0,BECTON DICKINSON & CO,Health Care Equipment & Supplies,0.08591194944462537,0.03552080659232902
0,11199.0,BEMIS CO INC,Containers & Packaging,-0.15215443887538718,-0.1163711826021511
7,11544.0,BERKLEY (W R) CORP,Insurance,0.028287459708517804,-0.2921600016051583
2,12208.0,BIO-RAD LABORATORIES INC,Life Sciences Tools & Services,-0.08233249049209236,0.10144775759741274
6,12355.0,BLACK & DECKER CORP,Household Durables,-0.32874636598592144,0.003304301673155226
8,12659.0,BLOCK H & R INC,Diversified Consumer Services,0.019398453530632066,0.02442824271681553
0,12927.0,BOEING CO,Aerospace & Defense,-0.14177336390834014,-0.10158954668190581
6,12978.0,OFFICEMAX INC,Specialty Retail,-0.4219411829294916,-0.1216305599031961
6,13610.0,BOWNE & CO INC,Commercial Services & Supplies,-0.35318886749862166,-0.030334506205719567
7,14195.0,BRIGGS & STRATTON,Machinery,-0.03748733166322227,-0.16137641769150343
8,14272.0,BRISTOL-MYERS SQUIBB CO,Pharmaceuticals,0.04373727157835004,-0.05149292135373934
0,14693.0,BROWN FORMAN CORP,Beverages,-0.12156834056184725,-0.17172731907297334
5,14707.0,CALERES INC,Specialty Retail,-0.2290612358093318,-0.19377576626899723
5,14930.0,BRUNSWICK CORP,Leisure Products,-0.36642956581863817,-0.21822803228374696
2,15615.0,MASTEC INC,Construction & Engineering,-0.10085245176474561,0.18034013712996233
5,16040.0,CABOT CORP,Chemicals,-0.19830995856670608,-0.1717275673268041
9,16058.0,CACI INTL INC  -CL A,IT Services,0.044428466177925445,0.095039290721268
8,16160.0,CAL-MAINE FOODS INC,Food Products,0.06321963616096098,0.057053318027544465
8,16732.0,CAMPBELL SOUP CO,Food Products,0.04007161838405238,-0.0956158270075285
0,16868.0,CANADIAN NATIONAL RAILWAY CO,Road & Rail,-0.09166317014243013,0.009525174445889694
2,16873.0,NEXEN INC,"Oil, Gas & Consumable Fuels",-0.04128673267432773,0.12718595422647058
0,16875.0,CANADIAN PACIFIC RAILWAY LTD,Road & Rail,-0.1378261999202841,-0.08713911540053602
8,16918.0,CONSTELLATION BRANDS,Beverages,-0.024848424690578384,-0.052457753932956035
2,16988.0,CANON INC,"Technology Hardware, Storage & Peripherals",-0.16823207228612067,0.2013010303234496
0,17843.0,CARPENTER TECHNOLOGY CORP,Metals & Mining,-0.15965843701792387,-0.1430869655201884
5,18061.0,CASCADE CORP,Machinery,-0.3028554969587089,-0.1352141461514863
1,18172.0,CASTLE (A M) & CO,Trading Companies & Distributors,0.18085511856327707,0.1546279463836119
5,18230.0,CATERPILLAR INC,Machinery,-0.2582693247145383,-0.17359088097213454
8,18255.0,CATO CORP  -CL A,Specialty Retail,0.018805404640342437,0.04874260941467763
7,18349.0,SYNOVUS FINANCIAL CORP,Banks,-0.06913217197256619,-0.29564403854535287
6,18396.0,CDI CORP,Professional Services,-0.1870429687959999,-0.09176489127918465
2,18498.0,GENESCO INC,Specialty Retail,-0.1823275860838321,0.05111811655352876
8,18808.0,CENTRAL VERMONT PUB SERV,Electric Utilities,-0.03999752212898689,0.022480249556162922
2,18926.0,CENTURYLINK INC,Diversified Telecommunication Services,-0.01776570437239103,0.06363753655000239
3,18937.0,CERADYNE INC,Aerospace & Defense,-0.04313108622712029,0.26715928114773413
4,19411.0,MAGELLAN HEALTH INC,Health Care Providers & Services,0.2396258354464235,-0.07818363298672304
8,19446.0,CANTEL MEDICAL CORP,Health Care Equipment & Supplies,0.06479178397689629,-0.02072884716865372
9,19520.0,CHATTEM INC,Personal Products,0.02164006620128532,0.21020959034411127
8,19584.0,CHEMED CORP,Health Care Providers & Services,0.017967341948565863,0.033161092893570755
7,19612.0,TCF FINANCIAL CORP,Banks,-0.014830812651477305,-0.2903330451964815
6,19617.0,JPMORGAN CHASE & CO,Banks,-0.24112808798622246,-0.03307417940595925
0,20171.0,CHUBB CORP,Insurance,-0.11094425278947903,-0.14539340853339083
7,20212.0,CHURCHILL DOWNS INC,"Hotels, Restaurants & Leisure",-0.05385126668781645,-0.18022227802209576
7,20286.0,CINCINNATI FINANCIAL CORP,Insurance,-0.09231841076904318,-0.2805098232605753
1,20520.0,FRONTIER COMMUNICATIONS CORP,Diversified Telecommunication Services,0.13045543842281765,0.036447421492087496
6,20740.0,CLARCOR INC,Machinery,-0.22074936009379523,0.03160276603429739
8,21076.0,CLOROX CO/DE,Household Products,-0.025506557655631472,0.003007264078196506
0,21344.0,COCA-COLA CO,Beverages,-0.05483444011170085,-0.03598854776149035
3,21510.0,COHERENT INC,"Electronic Equipment, Instruments & Components",0.03727718663268873,0.3366837309181764
2,21535.0,COHU INC,Semiconductors & Semiconductor Equipment,-0.12116007385084074,0.2104812260998376
8,21665.0,COLGATE-PALMOLIVE CO,Household Products,-0.00996689396182461,-0.026897509941889337
7,22356.0,COMMERCE BANCSHARES INC,Banks,-0.029208141468192495,-0.2733229605565907
0,22444.0,COMMERCIAL METALS,Metals & Mining,-0.1257634104663182,-0.06879230631242786
9,23197.0,COMTECH TELECOMMUN,Communications Equipment,0.06266547020506458,0.20449194321671246
7,23217.0,CONAGRA BRANDS INC,Food Products,0.006345996077197042,-0.21637456513086512
0,23666.0,HILLSHIRE BRANDS CO,Food Products,-0.07215973026478595,-0.10881748732170421
6,23675.0,CON-WAY INC,Road & Rail,-0.2516776160718603,-0.04077763551214308
5,24491.0,COOPER TIRE & RUBBER CO,Auto Components,-0.3487219844082071,-0.15618147659830228
8,24545.0,MOLSON COORS BEVERAGE CO,Beverages,0.025342282812168507,-0.0794327552679993
3,24741.0,CORNING INC,"Electronic Equipment, Instruments & Components",-0.1132739975971103,0.3699489478158342
5,25232.0,COUSINS PROPERTIES INC,"Equity Real Estate 
Investment Trusts 
(REITs)",-0.24004375825366397,-0.2579364190577683
6,25445.0,CRANE CO,Machinery,-0.27659163270996884,-0.115753766712438
6,26058.0,CTS CORP,"Electronic Equipment, Instruments & Components",-0.25424851228409046,0.018022736655523276
8,26076.0,CUBIC CORP,Aerospace & Defense,0.04050152307029993,-0.010041067944228385
6,26172.0,CUMMINS INC,Machinery,-0.2706635526664703,-0.05367375672376428
7,26324.0,CURTISS-WRIGHT CORP,Aerospace & Defense,-0.05276519867456394,-0.15482541629586669
5,26780.0,DANA INC,Auto Components,-0.18097959277551723,-0.23974040250041806
6,27419.0,TARGET CORP,Multiline Retail,-0.2362221819617951,-0.013343107051953289
7,27904.0,DELTA AIR LINES INC,Airlines,0.07845010263563032,-0.16375823156702002
5,27996.0,DELUXE CORP,Commercial Services & Supplies,-0.20108665771341072,-0.28358260026964577
7,28412.0,COMERICA INC,Banks,-0.11337466074543578,-0.3695727472260924
8,28823.0,DIEBOLD NIXDORF INC,"Technology Hardware, Storage & Peripherals",0.08039137335225029,-0.1201513513566288
6,28917.0,DILLARDS INC  -CL A,Multiline Retail,-0.20877533011565777,-0.12896069100104168
2,29002.0,DIODES INC,Semiconductors & Semiconductor Equipment,-0.15468691647065522,0.2193587476098896
1,29534.0,DOLLAR GENERAL CORP,Multiline Retail,0.2284634090352967,-0.02469463355043322
0,29644.0,DONALDSON CO INC,Machinery,-0.13785658848977295,-0.1029857216454893
5,29669.0,DONNELLEY (R R) & SONS CO,Commercial Services & Supplies,-0.17875288796591793,-0.24486579852261775
6,29905.0,DOVER CORP,Machinery,-0.20668075132359495,-0.06884164590205247
6,29989.0,OMNICOM GROUP,Media,-0.25189939153889734,0.07774536761476401
5,30554.0,DU PONT (E I) DE NEMOURS,Chemicals,-0.31868759440891253,-0.134820228359933
6,30625.0,FLOWSERVE CORP,Machinery,-0.16975172645717676,-0.022666339506950194
8,30697.0,WENDY'S CO,"Hotels, Restaurants & Leisure",0.017860811906262198,-0.09072902082305694
1,31235.0,EASTMAN KODAK CO,"Technology Hardware, Storage & Peripherals",0.3025330509607563,-0.0068579421299009334
0,31462.0,ECOLAB INC,Chemicals,-0.10251637790418693,-0.14723437285047122
3,31791.0,PERKINELMER INC,Life Sciences Tools & Services,-0.06278165489339177,0.26117540690634117
1,31978.0,EL PASO ELECTRIC CO,Electric Utilities,0.16820929427634101,0.10325351025519564
3,32198.0,EMS TECHNOLOGIES INC,Communications Equipment,-0.043888346601535004,0.38240010220895815
5,32604.0,EMERSON ELECTRIC CO,Electrical Equipment,-0.20665081782483868,-0.17084186768098464
0,33185.0,EQUIFAX INC,Professional Services,-0.15628916836512952,-0.09847684293979563
8,33213.0,EQT CORP,"Oil, Gas & Consumable Fuels",0.05172518436950637,-0.0027895366184159617
6,33619.0,ESTERLINE TECHNOLOGIES CORP,Aerospace & Defense,-0.1919145974989014,-0.0272028583797173
0,33769.0,BOB EVANS FARMS,Food Products,-0.1409632243733593,-0.035179715227837256
8,34067.0,DMC GLOBAL INC,Energy Equipment & Services,-0.0032733513303756013,0.03043977044783962
8,34088.0,EXXON MOBIL CORP,"Oil, Gas & Consumable Fuels",0.08396328163391506,-0.09210084408408907
0,34151.0,JO-ANN STORES INC,Specialty Retail,-0.14051223639742028,-0.023365777370533768
2,34408.0,FAMILY DOLLAR STORES,Multiline Retail,-0.0505818264833188,0.09474523200094682
5,34903.0,FEDERAL REALTY INVESTMENT TR,"Equity Real Estate 
Investment Trusts 
(REITs)",-0.24009434718207345,-0.216650815117619
5,35214.0,FERRO CORP,Chemicals,-0.26878983822722924,-0.27484059001981204
5,35527.0,FIFTH THIRD BANCORP,Banks,-0.17870768582031865,-0.320420363358231
7,36029.0,FIRST FINL BANKSHARES INC,Banks,0.07073040983056357,-0.24536691602050778
7,36047.0,CORELOGIC INC,IT Services,-0.02346433237666676,-0.167243522511598
5,36104.0,U S BANCORP,Banks,-0.15231055162047394,-0.30021473025536877
7,36146.0,TRUSTMARK CORP,Banks,-0.02176203067132521,-0.3165403647202387
7,36270.0,M & T BANK CORP,Banks,-0.1090633956678044,-0.35882750115230344
7,36966.0,FIRST HORIZON NATIONAL CORP,Banks,-0.002683188970433333,-0.29820017537493204
0,37008.0,WINTHROP REALTY TRUST,"Equity Real Estate 
Investment Trusts 
(REITs)",-0.06551679706701294,-0.04801683179673023
2,37748.0,MASSEY ENERGY CO,"Oil, Gas & Consumable Fuels",-0.16864206856991554,0.15514026810216366
0,37785.0,FMC CORP,Chemicals,-0.12400907280019208,-0.0032340725742987615
7,37808.0,F N B CORP/FL,Banks,0.0017635722454872854,-0.29408743805203535
5,37996.0,FORD MOTOR CO,Automobiles,-0.3217620858560757,-0.14212376684337702
2,38074.0,FOREST LABORATORIES  -CL A,Pharmaceuticals,-0.0038818958805821573,0.13814379278517702
0,38725.0,FRANKLIN ELECTRIC CO INC,Machinery,-0.029767499571743385,-0.12955541872766876
6,38777.0,FRANKLIN RESOURCES INC,Capital Markets,-0.2568428754864507,-0.09291408412646156
7,39263.0,CULLEN/FROST BANKERS INC,Banks,-0.01929396714837034,-0.21787205048380465
0,39368.0,FULLER (H. B.) CO,Chemicals,-0.08373573068799676,-0.09078455218354535
5,39648.0,G&K SERVICES INC  -CL A,Commercial Services & Supplies,-0.193692028495798,-0.18193691987276966
5,39899.0,TEGNA INC,Media,-0.27321783090551155,-0.2502773756503506
2,39911.0,GAP INC,Specialty Retail,-0.1417250332932306,0.12131852285203962
5,40211.0,GATX CORP,Trading Companies & Distributors,-0.24028373270266082,-0.21773616199189127
5,40533.0,GENERAL DYNAMICS CORP,Aerospace & Defense,-0.1671880979086333,-0.19030175432846788
6,40545.0,GENERAL ELECTRIC CO,Industrial Conglomerates,-0.2154110189650505,-0.13139644934174263
