cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
1750.0,GV_001004,1004,AIR,USA,AAR CORP,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,5080,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide.",0,0.1912715968112841,0.2520069696956669,-0.10841706620043454,-0.040536134185166196,0.21724795995504073
2488.0,GV_001161,1161,AMD,USA,ADVANCED MICRO DEVICES,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide.",0,-0.15432964004483046,-0.031193540588728575,-0.021336380760350417,-0.14431450041513258,-0.13599364393554741
16868.0,GV_002696,2696,CNR.,CAN,CANADIAN NATIONAL RAILWAY CO,Industrials,Transportation,Road & Rail,Railroads,4011,482111,Line-Haul Railroads,Transportation and Warehousing,Rail Transportation,"Canadian National Railway Company, together with its subsidiaries, engages in the rail and related transportation business.",0,0.13939056554690343,0.14785730410920223,-0.03303914535808349,-0.3239822731363261,-0.07381805770443052
16988.0,GV_002721,2721,CAJ,JPN,CANON INC,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",3577,333316,Photographic and Photocopying Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Canon Inc. manufactures and sells office multifunction devices (MFDs), plain paper copying machines, laser and inkjet printers, cameras, diagnostic equipment, and lithography equipment.",0,-0.022964238928949325,-0.07072393625929833,0.04840109191912584,0.03374740878506304,-0.13780050222649712
20212.0,GV_003028,3028,CHDN,USA,CHURCHILL DOWNS INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,7990,713210,Casinos (except Casino Hotels),"Arts, Entertainment, and Recreation","Amusement, Gambling, and Recreation Industries","Churchill Downs Incorporated operates as a racing, gaming, and online entertainment company in the United States.",0,0.28359919978196396,0.10528463892165778,0.11054674892018229,0.15028568580964824,0.07137346177506051
21535.0,GV_003158,3158,COHU,USA,COHU INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3825,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Manufacturing,Computer and Electronic Product Manufacturing,"Cohu, Inc., through its subsidiaries, provides semiconductor test and inspection handlers, micro-electro mechanical system (MEMS) test modules, test contactors, thermal sub-systems, semiconductor automated test equipment (ATE), and bare board printed circuit board (PCB) test systems for semiconductor and electronics manufacturers, and test subcontractors worldwide.",0,0.2794695784189919,-0.09978810461222604,-0.034876559413536345,-0.15342170002607616,0.19030939145702128
27904.0,GV_003851,3851,DAL,USA,DELTA AIR LINES INC,Industrials,Transportation,Airlines,Airlines,4512,481111,Scheduled Passenger Air Transportation,Transportation and Warehousing,Air Transportation,"Delta Air Lines, Inc. provides scheduled air transportation for passengers and cargo in the United States and internationally.",0,0.32863739540019465,0.4207394024894862,0.062320653094801795,-0.1683265646139531,0.27726715432690024
28823.0,GV_003946,3946,DBD,USA,DIEBOLD NIXDORF INC,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",3578,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Diebold Nixdorf, Incorporated provides connected commerce solutions to financial institutions and retailers in Western Europe, Eastern Europe, Asia, the Middle East, Africa, the United States, Canada, Mexico, and Latin America.",0,0.20804737425224823,0.010074039114043613,-0.1578340917923209,-0.1641350426946408,0.11174861540981212
32198.0,GV_004279,4279,ELMG,USA,EMS TECHNOLOGIES INC,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,3663,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"As of August 19, 2011, EMS Technologies, Inc. was acquired by Honeywell International Inc. EMS Technologies, Inc. designs, manufactures, and sells wireless communications products for the enterprise mobility, communications-on-the-move, tracking, and in-flight connectivity markets in the United States and internationally.",0,-0.056846944620335974,0.21264276775632288,-0.12325304235983175,-0.0022818346217032153,0.18109788468704532
33769.0,GV_002282,2282,BOBE,USA,BOB EVANS FARMS,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,2013,311612,Meat Processed from Carcasses,Manufacturing,Food Manufacturing,"Bob Evans Farms, Inc. produces and distributes food products for grocery retailers in the United States.",0,0.16052711564314612,0.11984244599162741,0.3236076479888534,-0.1402632158511781,-0.2191766069215243
36146.0,GV_004685,4685,TRMK,USA,TRUSTMARK CORP,Financials,Banks,Banks,Regional Banks,6020,522110,Commercial Banking,Finance and Insurance,Credit Intermediation and Related Activities,Trustmark Corporation operates as the bank holding company for Trustmark National Bank that provides banking and other financial solutions to individuals and corporate institutions in the United States.,0,0.4744032430416194,0.21751963990337086,-0.1060243324552026,-0.11423647720966618,0.13695580026756668
39263.0,GV_003643,3643,CFR,USA,CULLEN/FROST BANKERS INC,Financials,Banks,Banks,Regional Banks,6020,522110,Commercial Banking,Finance and Insurance,Credit Intermediation and Related Activities,"Cullen/Frost Bankers, Inc. operates as the holding company for Frost Bank that offers commercial and consumer banking services in Texas.",0,0.2940074845810931,0.3652914807550347,-0.21739789238815863,0.14011894278786785,-0.14427227213588523
50725.0,GV_005987,5987,GFF,USA,GRIFFON CORP,Industrials,Capital Goods,Building Products,Building Products,3420,332216,Saw Blade and Handtool Manufacturing,Manufacturing,Fabricated Metal Product Manufacturing,"Griffon Corporation, through its subsidiaries, engages in the consumer and professional products, home and building products, and defense electronics businesses in the United States, Canada, Australia, Europe, and internationally.",0,0.11702063513896203,0.07943715067102092,0.03377532799841643,-0.006948951834272268,0.21716112411829128
54991.0,GV_006370,6370,KEI,USA,KEITHLEY INSTRUMENTS INC,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,3825,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Manufacturing,Computer and Electronic Product Manufacturing,"Keithley Instruments, Inc. designs,develops,manufactures,and markets complex electronic instruments and systems to the electronics manufacturers for high-performance production testing, process monitoring,product development,and research.",0,0.07083878156559012,0.03337466411944148,0.5000088529896791,0.035748152403563285,-0.017211409475545725
55242.0,GV_006386,6386,KMT,USA,KENNAMETAL INC,Industrials,Capital Goods,Machinery,Industrial Machinery,3540,333517,Machine Tool Manufacturing,Manufacturing,Machinery Manufacturing,"Kennametal Inc. develops and applies tungsten carbides, ceramics, and super-hard materials and solutions for use in metal cutting and extreme wear applications to enable customers work against corrosion and high temperatures conditions worldwide.",0,0.08936664178499287,-0.1690074999323253,0.11967992515025556,-0.0962549226467641,-0.10960462272845688
64803.0,GV_007241,7241,CVS,USA,CVS HEALTH CORP,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care  Services,5912,446110,Pharmacies and Drug Stores,Retail Trade,Health and Personal Care Stores,CVS Health Corporation provides health services and plans in the United States.,0,0.02981264828183483,-0.08789051944438696,-0.11658692047359101,-0.09642470264629528,-0.02836852735749567
67472.0,GV_007506,7506,MOLXA,USA,MOLEX INC,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,3678,334417,Electronic Connector Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Molex, LLC designs, develops, and manufactures electronic components and solutions.",0,0.09927127446467157,-0.11659915383916077,0.033007136977467974,-0.007206033652572619,-0.2892078079222597
