cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
1750.0,GV_001004,1004,AIR,USA,AAR CORP,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,5080,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide.",6,-0.09571485022934728,0.06740812430145718,-0.0220508539769653,-0.12732383525896107,0.050158642286462635
1800.0,GV_001078,1078,ABT,USA,ABBOTT LABORATORIES,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3845,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide.",6,0.14963055345670084,-0.05300714219772366,0.2955897704072928,-0.012854048771524499,0.14287463949678547
4904.0,GV_001440,1440,AEP,USA,AMERICAN ELECTRIC POWER CO,Utilities,Utilities,Electric Utilities,Electric Utilities,4911,2211,"Electric Power Generation, Transmission and Distribution",Utilities,Utilities,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States.",6,-0.0419290340942625,-0.1536443537404604,0.5045849197633814,0.27479148867862324,0.051665430347733896
4977.0,GV_001449,1449,AFL,USA,AFLAC INC,Financials,Insurance,Insurance,Life & Health Insurance,6321,524114,Direct Health and Medical Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products.",6,-0.26794363837124374,-0.25912262615897674,0.03835790011914964,0.057336416011130535,0.1615822890259122
6769.0,GV_001678,1678,APA,USA,APACHE CORP,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,1311,2111,Oil and Gas Extraction,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,"Apache Corporation, an independent energy company, explores for, develops, and produces natural gas, crude oil, and natural gas liquids (NGLs).",6,0.07706878297528434,-0.09407803718501274,-0.21733774050031404,0.33615633067798034,0.352905754010224
6845.0,GV_001686,1686,APOG,USA,APOGEE ENTERPRISES INC,Industrials,Capital Goods,Building Products,Building Products,3442,332321,Metal Window and Door Manufacturing,Manufacturing,Fabricated Metal Product Manufacturing,"Apogee Enterprises, Inc. designs and develops glass and metal products and services in the United States, Canada, and Brazil.",6,-0.08102048558477006,-0.09113663536362222,-0.00034773885477873753,-0.00943418026464191,0.011828578288722674
7332.0,GV_009904,9904,SWN,USA,SOUTHWESTERN ENERGY CO,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,4923,2111,Oil and Gas Extraction,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,"Southwestern Energy Company, an independent energy company, engages in the exploration, development, and production of natural gas, oil, and natural gas liquids (NGLs) in the United States.",6,0.16555187800230908,-0.01662468480521476,-0.12394783131031034,0.31936190605137976,0.2732709168366029
8411.0,GV_001860,1860,ATW,USA,ATWOOD OCEANICS,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling,1381,213111,Drilling Oil and Gas Wells,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,"As of Ocober 6,2017, Atwood Oceanics, Inc. was acquired by Ensco PLC.",6,-0.05883049730756783,0.12776421547745845,-0.21165681501038758,0.24831328207320044,0.2687798725648997
8858.0,GV_001919,1919,AVT,USA,AVNET INC,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Technology Distributors,5065,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","Avnet, Inc., a technology solutions company, markets, sells, and distributes electronic components.",6,-0.2342272850833149,0.14109689891111302,-0.12145072120155677,-0.18755832435072228,0.09702066376086094
9631.0,GV_015582,15582,BNS.,CAN,BANK OF NOVA SCOTIA,Financials,Banks,Banks,Diversified Banks,6020,522110,Commercial Banking,Finance and Insurance,Credit Intermediation and Related Activities,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally.",6,-0.16522515474465424,-0.09491227944052458,0.13557136701715114,0.01552629030661232,0.30563962985298077
