cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim
1750,GV_001004,1004,AIR,USA,AAR CORP,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,5080,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Durable Goods","AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide.",0,0.35529666913335844,-0.10777877864081413
1800,GV_001078,1078,ABT,USA,ABBOTT LABORATORIES,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3845,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide.",0,0.37175015907561676,-0.08693402802794468
2034,GV_001094,1094,ACETQ,USA,ACETO CORP,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,5160,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale Trade,"Merchant Wholesalers, Nondurable Goods","On October 1, 2019, Aceto Corporation went out of business as per its Chapter 11 liquidation filing under bankruptcy.",0,0.1191904124797292,-0.30458252522303425
2135,GV_030697,30697,ACS,USA,AFFILIATED COMPUTER SERVICES,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,7374,518210,"Data Processing, Hosting, and Related Services",Information,"Data Processing, Hosting, and Related Services","Conduent Business Services, LLC provides digital platforms and services for Fortune 100 companies and government entities worldwide.",0,0.5141774668298336,0.22132484405173894
2488,GV_001161,1161,AMD,USA,ADVANCED MICRO DEVICES,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide.",0,0.1781849162363173,-0.29015506691128645
2969,GV_001209,1209,APD,USA,AIR PRODUCTS & CHEMICALS INC,Materials,Materials,Chemicals,Industrial Gases,2810,325120,Industrial Gas Manufacturing,Manufacturing,Chemical Manufacturing,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide.",0,-0.36165406345888423,-0.3503138378647124
4447,GV_001380,1380,HES,USA,HESS CORP,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,1311,2111,Oil and Gas Extraction,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,"Hess Corporation, an exploration and production company, explores, develops, produces, purchases, transports, and sells crude oil, natural gas liquids (NGLs), and natural gas.",0,-0.2743739822724918,-0.3966465270190853
5133,GV_001468,1468,AM.1,USA,AMERICAN GREETINGS  -CL A,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties,2771,511191,Greeting Card Publishers,Information,Publishing Industries (except Internet),"American Greetings Corporation designs, manufactures, distributes, and sells social expressions products.",0,0.585603119799902,-0.04215350514104326
5768,GV_001554,1554,ASEI,USA,AMERICAN SCIENCE ENGINEERING,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3844,334517,Irradiation Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"American Science and Engineering, Inc., together with its subsidiaries, develops, manufactures, markets, and sells X-ray inspection and other detection products for homeland security, force protection, public safety, and other defense and security applications in the United States and internationally.",0,0.3502094343074556,-0.24176882228516522
6951,GV_001704,1704,AMAT,USA,APPLIED MATERIALS INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3559,333242,Semiconductor Machinery Manufacturing,Manufacturing,Machinery Manufacturing,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries.",0,0.14411677043705007,-0.27165723959578536
7084,GV_001722,1722,ADM,USA,ARCHER-DANIELS-MIDLAND CO,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products,2070,31122,Starch and Vegetable Fats and Oils Manufacturing,Manufacturing,Food Manufacturing,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States and internationally.",0,-0.10659987410385341,-0.3325938992074748
